index,sentence1,sentence2,label
203,Jane dio golosinas a Joan porque tenía mucha hambre.,Joan tenía hambre.,1
204,"El Sr. Moncrieff visitó el lujoso apartamento de Chester en Nueva York, pensando que era de su hijo Edward. El resultado es que el Sr. Moncrieff ha decidido cancelar la asignación de Edward porque ya no necesita su ayuda financiera.",Edward ya no necesita su ayuda financiera.,1
205,"Cuando Tommy dejó caer su helado, Timmy se rio, por eso su padre le dirigió una mirada risueña.",El padre dirigió a Tommy una mirada risueña.,1
206,John estaba estudiando en la biblioteca cuando escuchó a un hombre que murmuraba y silbaba. Estaba muy molesto.,El hombre estaba muy molesto.,0
207,"No es fácil dejar la misma distancia entre un ojal y otro, y es muy difícil cortarlos todos exactamente con el largo correcto. El más mínimo desvío del punzón hará que un ojal sea demasiado grande, y un solo hilo sin cortar lo hará demasiado corto.",Y un solo hilo sin cortar hará que el desvío sea demasiado corto.,0
208,Susan lo sabe todo sobre los problemas personales de Ann porque es muy entrometida.,Ann es muy entrometida.,0
209,"No es fácil dejar la misma distancia entre un ojal y otro, y es muy difícil cortarlos todos exactamente con el largo correcto. El más mínimo desvío del punzón hará que un ojal sea demasiado grande, y un solo hilo sin cortar lo hará demasiado corto.",Y un solo hilo sin cortar hará que el punzón sea demasiado corto.,0
210,"El sol estuvo cubierto por una gruesa nube toda la mañana, pero, afortunadamente, cuando empezó el pícnic, salió.",La nube salió.,0
211,"Los periodistas entrevistaron a los protagonistas de la nueva película. Eran muy amables, por lo que la entrevista duró mucho tiempo.","Los protagonistas eran muy amables, por lo que la entrevista duró mucho tiempo.",1
212,Los concejales negaron el permiso a los manifestantes porque temían la violencia.,Los concejales temían la violencia.,1
213,Ann dio a luz a una niña el mes pasado. Es una mujer encantadora.,La hija de Ann es una mujer encantadora.,0
214,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos después.",Jackson vivió dos siglos después.,1
215,Este libro introdujo a Shakespeare en Ovidio; fue una buena selección de su obra.,Fue una buena selección de los escritos de Shakespeare.,0
216,El padre llevaba al hijo que dormía en su cochecito.,El padre llevaba al hijo que dormía en el cochecito del padre.,0
217,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque había sido más rápido.,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque Dan había sido más rápido.,0
218,Pete envidia a Martin aunque tiene mucho éxito.,Martin tiene mucho éxito.,0
219,Mark estaba seguro de una cosa. Harry sabía mucho menos que él.,Harry sabía mucho menos que Harry.,0
220,"Dado que Chester dependía de su tío Vernon, no podía casarse sin su aprobación.",El tío Vernon no podía casarse sin su aprobación.,0
221,Thomson visitó la tumba de Cooper en 1765. Por aquel entonces hacía cinco años que estaba muerto.,Hacía cinco años que Thomson estaba muerto.,0
222,Mark le contó a Pete muchas mentiras sobre sí mismo que Pete incluyó en su libro. Tendría que haber sido más escéptico.,Mark tendría que haber sido más escéptico.,0
223,"Mi reunión empezaba a las 16:00 y tenía que coger el tren a las 16:30 por lo que no me quedaba mucho tiempo. Por suerte, se retrasó y todo salió bien.",La reunión se retrasó y todo salió bien.,0
224,Los zorros entran de noche y atacan a los pollos. Se han puesto muy nerviosos.,Los zorros se han puesto muy nerviosos.,0
225,Coloqué el ala de mariposa sobre la mesa y se rompió.,El ala de mariposa se rompió.,1
226,"Fred y Alice llevaban abrigos muy gruesos, pero no estaban preparados para el frío de Alaska.",Fred y Alice no estaban preparados para el frío de Alaska.,1
227,Tom llevó a Ralph en coche a la escuela para que no tuviera que caminar.,Para que Tom no tuviera que caminar.,0
228,Guardé la tarta en la nevera. Había muchas sobras en ella.,Había muchas sobras en la nevera.,1
229,"Sid explicó su teoría a Mark, pero no pudo convencerlo.",Mark no pudo convencerlo.,0
230,Saqué la cantimplora de la mochila para tenerla más a mano.,Saqué la cantimplora de la mochila para tener la cantimplora más a mano.,1
231,El pez se comió al gusano. Estaba muy sabroso.,El gusano estaba muy sabroso.,1
232,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver la pista de aterrizaje.",Andrea pudo ver la pista de aterrizaje.,1
233,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver la pista de aterrizaje.",Susan pudo ver la pista de aterrizaje.,0
234,"Lionel tiene como prisionero a un científico, el doctor Vardi, que ha inventado un dispositivo que convierte a los animales en invisibles; Lionel tiene previsto utilizarlo en Geoffrey y enviarle a robar material nuclear de un almacén del ejército.",Lionel tiene previsto utilizarlo en Geoffrey y enviar a Geoffrey a robar material nuclear de un almacén del ejército.,1
235,Kirilov cedió la presidencia a Shatov porque era más popular.,Shatov era más popular.,1
236,"Bernard, que no había dicho al funcionario que tenía menos de 21 años cuando presentó su solicitud de concesión de propiedad, no consideraba que hubiera hecho nada malo. Pero cualquiera que supiera que solo tenía 19 años podría haber anulado su solicitud.",El funcionario tenía menos de 21 años cuando presentó su solicitud de concesión de propiedad.,0
237,Mamá entró y se sentó al lado de Alice. Le acarició el cabello suavemente y dejó que la niña llorara.,Alice le acarició el cabello y dejó que la niña llorara.,0
238,"Alice buscaba a su amiga Jade entre la multitud. Como ella siempre tiene buena suerte, Alice pudo verla en seguida.","Como Jade siempre tiene buena suerte, Alice pudo verla en seguida.",0
239,"Estaba allí sentado sintiéndome un poco como el chico de aquella historia que leí una vez, que había asesinado a una mujer y había ocultado el cuerpo bajo la mesa del comedor, y después tuvo que ser el alma de la fiesta, con ella allí todo el tiempo.","Tuvo que ser el alma de la fiesta, con la mujer allí todo el tiempo.",1
240,"El gato esperaba ante la ratonera a que saliera el ratón, pero era demasiado impaciente.",El ratón era demasiado impaciente.,0
241,"A todos les gustaron mucho las galletas de avena, solo unos cuantos prefirieron las galletas de chocolate. La próxima vez, deberíamos hacer más.",Deberíamos hacer más galletas de chocolate.,0
242,Jim hizo señas al camarero y le señaló su llave del baño.,Jim hizo señas al camarero y le señaló la llave del baño de Jim.,0
243,"Mark le pisaba los talones al Sr. Singer. Oyó cómo llamaba al capitán, y le prometía, en la jerga con la que todo el mundo hablaba aquella noche, que en el barco nada resultaría dañado, excepto la munición, pero el capitán y su tripulación prefirieron quedarse en la cabina hasta que finalizara el trabajo.",Oyó como el Sr. Singer llamaba al capitán.,1
244,No pude coger el frasco del estante porque estaba demasiado alto.,El estante estaba demasiado alto.,0
245,John corría por el parque cuando vio a un hombre que hacía malabares con sandías. Era espectacular.,El hombre que hacía malabares era espectacular.,1
246,"El abogado hizo una pregunta al testigo, pero no quiso responderla.",El testigo no quiso responderla.,1
247,"Susan sabía que el hijo de Ann había tenido un accidente de coche, porque se lo explicó.",Susan se lo explicó.,0
248,"Dado que Chester dependía de su tío Vernon, no podía casarse sin su aprobación.",Chester no podía casarse sin su aprobación.,1
249,"Cuando los promotores de la ley acudieron al ayuntamiento, les sorprendió ver que la sala estaba llena de opositores. Eran muchos más.",Los opositores eran muchos más.,1
250,Billy lloraba porque Toby no quería compartir su juguete.,Billy lloraba porque Toby no quería compartir el juguete de Toby.,1
251,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy estúpidos.",Los jueces eran muy estúpidos.,1
252,La gran bola penetró a través de la mesa porque era de acero.,La mesa era de acero.,0
253,"Grant cultivó sus garbanzos con gran esfuerzo para que él y su familia pudieran comer en invierno. Su amigo Henry le dejó guardarlos en su granero para que se secaran. Después, él y Tatyana los desgranarían y los cocinarían para sus comidas de los domingos.",Su amigo Henry le dejó guardar los garbanzos en su granero para que se secaran.,1
254,"Jane llamó a la puerta de Susan, pero no hubo respuesta. Había salido.",Jane había salido.,0
255,Jane llamó a la puerta y Susan respondió. La invitó a entrar.,Jane la invitó a entrar.,0
256,La mesa no pasará por la puerta porque es demasiado ancha.,La puerta es demasiado ancha.,0
257,"En varias ocasiones Henry había estado presente en las entrevistas que su padre había mantenido con destacados detectives que solicitaban su ayuda para resolver misterios sorprendentes, y esas ocasiones fueron días señalados para él.",Estas ocasiones fueron días señalados para su padre.,0
258,"Si el estafador hubiera conseguido engañar a Sam, él habría perdido mucho dinero.",Sam habría perdido mucho dinero.,1
259,"Larry, un adolescente tímido, vive con su madre viuda en una vivienda social en Brooklyn. El padre de Larry, líder de una banda, murió en un tiroteo; el discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y le enseña a traficar con drogas.","El discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y enseña al padre de Larry a traficar con drogas.",0
260,Frank se sintió desolado cuando su rival de toda la vida Bill le dijo que había ganado la competición.,Frank había ganado la competición.,0
261,Fred se tapó los ojos con los brazos porque el viento hacía que le entrara arena. Los bajó cuando el viento dejó de soplar.,Bajó los brazos cuando el viento dejó de soplar.,1
262,Los Wainwright trataron al Sr. Crowley como un príncipe hasta que hizo testamento en su favor; después le trataron como un trapo sucio. La gente decía que murió para acabar con su persistente acoso.,La gente decía que murió para acabar con el persistente acoso de la gente.,0
263,El padre llevaba al hijo que dormía en sus brazos.,El padre llevaba al hijo que dormía en los brazos del hijo.,0
264,Hay un agujero en el muro. Se puede ver el jardín a través de él.,Se puede ver el jardín a través del muro.,0
265,Los arqueólogos han llegado a la conclusión de que había humanos en Laputa hace 20 000 años. Cazaban ciervos en las orillas de los ríos.,Los arqueólogos cazaban ciervos en las orillas de los ríos.,0
266,"Susan sabía que el hijo de Ann había tenido un accidente de coche, por eso se lo explicó.",Susan se lo explicó.,1
267,"El padre averiguó cuánto dinero debía el hombre a la tienda; a eso añadió el alojamiento en la cabaña del cocinero. Restó el importe del salario del hombre, y le extendió un cheque.",El hombre restó el importe del salario del hombre.,0
268,El cliente entró en el banco y apuñaló a uno de los cajeros. Lo llevaron al hospital inmediatamente.,Llevaron al cajero al hospital inmediatamente.,1
269,Kirilov cedió la presidencia a Shatov porque era menos popular.,Kirilov era menos popular.,1
270,John contrató a Bill para cuidarlo.,John contrató a Bill para cuidar a Bill.,0
271,Bill pasó la videoconsola a John porque era su turno.,Era el turno de John.,1
272,Joe pagó al detective cuando le hubo entregado el informe final sobre el caso.,Joe entregó el informe final sobre el caso.,0
273,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce meses.","Cuando Fred vio por primera vez a mi padre, mi padre tenía doce meses.",1
274,James pidió un favor a Robert pero se lo negó.,Se lo negó a James.,1
275,"Lily habló a Donna, rompiendo su silencio.","Lily habló a Donna, rompiendo el silencio de Lily.",1
276,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un golpe de suerte, habría perdido.",Bob habría perdido.,0
277,Dan tenía que impedir que Bill siguiera jugando con el pájaro herido. Es muy cruel.,Dan es muy cruel.,0
278,"Ann preguntó a Mary a qué hora cerraba la librería, pero lo había olvidado.",Mary lo había olvidado.,1
279,La escultura cayó de la estantería porque no estaba sujeta.,La escultura no estaba sujeta.,1
280,Carol creía que Rebecca sospechaba que había robado el reloj.,Carol creía que Rebecca sospechaba que Carol había robado el reloj.,1
281,"Paul intentó llamar a George por teléfono, pero no obtuvo respuesta.",George no obtuvo respuesta.,0
282,"Mary acostó a su hija Anne, para que ella pudiera trabajar.","Mary acostó a su hija Anne, para que Mary pudiera trabajar.",1
283,James pidió un favor a Robert pero él se negó.,Robert se negó.,1
284,"No tenía cuchara, por lo que utilicé un bolígrafo para remover el café. Pero no fue buena idea, porque se llenó de café.",El café se llenó de café.,0
285,"El camino hasta el lago estaba cortado, por lo que no pudimos cogerlo.",No pudimos coger el camino.,1
286,"Mientras estiraba la espalda, la mujer sonrió a la niña.","Mientras estiraba la espalda de la niña, la mujer sonrió a la niña.",0
287,Los arqueólogos han llegado a la conclusión de que había humanos en Laputa hace 20 000 años. Buscaban pruebas en las orillas del río.,Los arqueólogos buscaban pruebas en las orillas del río.,1
288,"Intentaba pintar un cuadro de árboles frutales, con limones en los limoneros, pero más bien parecían bombillas.",Los limones más bien parecían bombillas.,1
289,"Esta mañana, Joey ha construido un castillo de arena en la playa y ha puesto un estandarte en la torre más alta, pero por la tarde la marea lo ha derribado.",Por la tarde la marea ha derribado el castillo de arena.,1
290,Los zorros entran de noche y atacan a los pollos. Se han puesto muy nerviosos.,Los pollos se han vuelto muy nerviosos.,1
291,Tom lanzó su mochila a Ray cuando llegó a lo alto de las escaleras.,Ray llegó a lo alto de las escaleras.,0
292,"En julio, Kamchatka declaró la guerra a Yakutsk. Como el ejército de Yakutsk estaba mucho mejor equipado y era diez veces mayor, fue derrotado en pocas semanas.",Kamchatka fue derrotado en pocas semanas.,1
293,Madonna despidió a su entrenadora porque se acostaba con su novio.,La entrenadora se acostaba con su novio.,1
294,Dan tenía que impedir que Bill siguiera jugando con el pájaro herido. Es muy compasivo.,Dan es muy compasivo.,1
295,Utilicé un paño viejo para limpiar el cuchillo y después lo tiré a la basura.,Tiré el paño a la basura.,1
296,Le dio una palmadita en la espalda y la mujer sonrió a la niña.,Le dio una palmadita en la espalda de la mujer y la mujer sonrió a la niña.,0
297,La gran bola penetró a través de la mesa porque era de poliestireno extruido.,La mesa era de poliestireno extruido.,1
298,"Estaba intentando abrir el candado con la llave, pero alguien había llenado la cerradura con goma de mascar y no podía sacarla.",No podía sacar la goma de mascar.,1
299,"Adam no puede salir del trabajo hasta que Bob llegue para sustituirle. Si Bob hubiera salido de casa a tiempo, ahora ya se habría ido.",Ahora Adam ya se habría ido.,1
300,"Bob pagó la formación universitaria de Charlie, pero ahora Charlie actúa como si no lo hubiera hecho. Está muy dolido.",Bob está muy dolido.,1
301,"Bernard, que no había dicho al funcionario que tenía menos de 21 años cuando presentó su solicitud de concesión de propiedad, no consideraba que hubiera hecho nada malo. Pero cualquiera que supiera que solo tenía 19 años podría haber anulado su solicitud.",Cualquiera que supiera que solo tenía 19 años podría haber anulado la solicitud a Bernard.,1
302,Mary sacó su flauta y tocó una de sus piezas favoritas. La tenía desde que era niña.,Tenía la flauta desde que era niña.,1
303,"Sam y Amy están muy enamorados, pero a los padres de Amy no les gusta, porque son unos esnobs.",Sam y Amy son unos esnobs.,0
304,Este libro introdujo a Shakespeare en Goethe; fue una buena selección de su obra.,Fue una buena selección de los escritos de Shakespeare.,1
305,Los zorros entran de noche y atacan a los pollos. Tendré que protegerlos.,Tendré que proteger a los pollos.,1
306,"El asno deseó que la verruga de su pata trasera desapareciera, y así fue.","El asno deseó que la verruga de su pata trasera desapareciera, y la verruga desapareció.",1
307,Guardé la tarta en la nevera. Tenía mucha mantequilla.,Tenía mucha mantequilla en la nevera.,0
308,"El saco de patatas estaba debajo del saco de harina, por eso había que sacarlo primero.",Había que sacar primero el saco de patatas.,0
309,"Papá observó las caras de sus hijas, tan asombradas y tristes ahora. Ya era bastante malo que tuvieran que renunciar a tantas cosas porque él no podía permitírselas.",Él no podía permitirse las caras.,0
310,Coloqué el libro pesado sobre la mesa y se rompió.,El libro pesado se rompió.,0
311,Utilicé un paño viejo para limpiar el cuchillo y después lo metí en el cajón.,Metí el cuchillo en el cajón.,1
312,James pidió un favor a Robert pero él se negó.,James se negó.,0
313,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que cumplieran los 21 años.,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que los hijos cumplieran los 21 años.,1
314,"Los estudiantes mayores acosaban a los más jóvenes, por eso fuimos a ayudarles.",Fuimos a ayudar a los estudiantes más jóvenes.,1
315,"Esta mañana, Joey ha construido un castillo de arena en la playa y ha puesto un estandarte en la torre más alta, pero por la tarde el viento lo ha derribado.",Por la tarde el viento ha derribado el estandarte.,1
316,"El saco de patatas estaba sobre el saco de harina, por eso había que sacarlo primero.",Había que sacar primero el saco de patatas.,1
317,Ann dio a luz a una niña el mes pasado. Es una niña encantadora.,La hija de Ann es una niña encantadora.,1
318,"Tatyana llevaba dos guitarras y una bolsa, y todavía pudo señalar a los Freeman: ”¡Qué bien que han venido, mamá!”","”¡Qué bien que los Freeman han venido, mamá!”",1
319,En la sala de estar de Mark hay una pintura de un roble. Está a la derecha de la estantería.,La pintura está a la derecha de la estantería.,1
320,"Mark le pisaba los talones al Sr. Singer. Oyó cómo llamaba al capitán, y le prometía, en la jerga con la que todo el mundo hablaba aquella noche, que en el barco nada resultaría dañado, excepto la munición, pero el capitán y su tripulación prefirieron quedarse en la cabina hasta que finalizara el trabajo.",El capitán y toda la tripulación de Mark prefirieron quedarse en la cabina hasta que finalizara el trabajo.,0
321,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","Entró con cuidado para no despertarla, se desvistió y subió a la litera de su madre.",0
322,Mark oyó las pisadas de Steve bajando la escalera. La puerta de la tienda se cerró tras él. Corrió a mirar por la ventana.,Steve corrió a mirar por la ventana.,0
323,Los dueños de los almacenes se quedaron en la ciudad para gestionarlos y vivían en las habitaciones de detrás.,Los dueños de los almacenes se quedaron en la ciudad para gestionarlos y vivían en las habitaciones de detrás de los dueños.,0
324,Pete envidia a Martin porque tiene mucho éxito.,Pete tiene mucho éxito.,0
325,"Hasta ahora Larry siempre había ayudado a su padre en su trabajo. Pero ahora no podía ayudarle, porque su padre decía que el jefe de la compañía ferroviaria no quería que hubiera nadie más que él en la oficina.",El jefe de su padre en la compañía ferroviaria no quería que nadie más que él trabajara en la oficina.,1
326,"Grant cultivó sus garbanzos con gran esfuerzo para que él y su familia pudieran comer en invierno. Su amigo Henry le dejó guardarlos en su granero para que se secaran. Después, él y Tatyana los desgranarían y los cocinarían para sus comidas de los domingos.","Después, él y Tatyana los desgranarían y los cocinarían para las comidas de los domingos de él y Tatyana.",1
327,"Los periodistas entrevistaron a los protagonistas de la nueva película. Eran muy persistentes, por lo que la entrevista duró mucho tiempo.","Los protagonistas eran muy persistentes, por lo que la entrevista duró mucho tiempo.",0
328,A Anna la prueba le salió mucho peor que a su buena amiga Lucy porque ella había estudiado mucho.,Anna había estudiado mucho.,0
329,La Dra. Adams informó a Kate de que tenía cáncer y presentó varias opciones para su futuro tratamiento.,Kate tenía cáncer y presentó varias opciones para su futuro tratamiento.,1
330,Este libro introdujo a Shakespeare en Ovidio; fue una buena selección de su obra.,Fue una buena selección para la escritura de Ovidio.,1
331,Durante el juego del pillapilla Ethan escapó de Luke porque era quien la pagaba.,Luke era quien la pagaba.,1
332,"El Sr. Moncrieff visitó el lujoso apartamento de Chester en Nueva York, pensando que era de su hijo Edward. El resultado es que el Sr. Moncrieff ha decidido cancelar la asignación de Edward porque ya no necesita su ayuda financiera.",El Sr. Moncrieff ya no necesita su ayuda financiera.,0
333,"Alice intentó con todas sus fuerzas evitar que su hija hablara en la fiesta, y nos preguntábamos por qué se comportaba de forma tan extraña.",Alice se comportaba de forma extraña.,1
334,"Los rótulos sobre las puertas de las tiendas tenían dibujos que indicaban el trabajo que se hacía dentro. Aunque cada vez había más gente que aprendía a leer, cada artesano seguía teniendo su dibujo, y no quería perder a un posible cliente solo porque no supiera leer.",Cada artesano seguía teniendo su dibujo y no quería perder a un posible cliente solo porque el cliente no supiera leer.,1
335,Los científicos están estudiando tres especies de peces que recientemente han descubierto en el Océano Índico. Empezaron hace dos años.,Los peces empezaron hace dos años.,0
336,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque había sido más rápido.,Dan se sentó atrás mientras Bill reclamaba el asiento de delante porque Bill había sido más rápido.,1
337,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que se enfrentó en su investigación.,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que Jenofonte se enfrentó en su investigación.,0
338,Clavé una aguja en una zanahoria. Cuando saqué la aguja dejó un agujero.,La aguja dejó un agujero.,1
339,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos después.",Arnold vivió dos siglos después.,0
340,Los políticos de Washington no pueden conocer a los colonos y por eso deben redactar normas para regularlos.,Deben redactar normas para regular a los colonos.,1
341,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver el tren de aterrizaje.",Andrea pudo ver el tren de aterrizaje.,0
342,Mamá entró y se sentó al lado de Alice. Le acarició el cabello suavemente y dejó que la niña llorara.,Acarició el cabello de Alice y dejó que la niña llorara.,1
343,Joe ha vendido su vieja casa y ha comprado una nueva a pocos kilómetros de distancia. Se va a marchar de ella el jueves.,Se va a marchar de la casa nueva el jueves.,0
344,Mamá entró y se sentó al lado de Alice. Le acarició el cabello suavemente y dejó que la niña llorara.,Acarició el cabello de mamá y dejó que la niña llorara.,0
345,Joan se aseguró de dar las gracias a Susan por toda la ayuda que había recibido.,Joan se aseguró de dar las gracias a Susan por toda la ayuda que Joan había recibido.,1
346,"Estaba allí sentado sintiéndome un poco como el chico de aquella historia que leí una vez, que había asesinado a una mujer y había ocultado el cuerpo bajo la mesa del comedor, y después tuvo que ser el alma de la fiesta, con ella allí todo el tiempo.","Tuvo que ser el alma de la fiesta, con la mesa allí todo el tiempo.",0
347,"Larry, un adolescente tímido, vive con su madre viuda en una vivienda social en Brooklyn. El padre de Larry, líder de una banda, murió en un tiroteo; el discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y le enseña a traficar con drogas.","El discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y enseña a Antonio a traficar con drogas.",1
348,"Los estudiantes mayores acosaban a los más jóvenes, por eso fuimos a castigarles.",Fuimos a castigar a los estudiantes mayores.,1
349,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy inteligentes.",Los chatbots eran muy inteligentes.,1
350,"Los padres de Pam llegaron a casa y la encontraron en la cama con su novio, Paul. Se sintieron muy incómodos.",Pam y Paul se sintieron muy incómodos.,1
351,Durante el juego del pillapilla Ethan escapó de Luke porque era quien la pagaba.,Ethan era quien la pagaba.,0
352,"Estaba intentando abrir el candado con la llave, pero alguien había llenado la cerradura con goma de mascar y no podía sacarla.",No podía sacar la llave.,0
353,"Alice buscaba a su amiga Jade entre la multitud. Como ella siempre tiene buena suerte, Alice pudo verla en seguida.","Como Alice siempre tiene buena suerte, Alice pudo verla en seguida.",1
354,"Como llovía, puse el periódico sobre mi mochila para que no se mojara.",Puse el periódico sobre mi mochila para que el periódico no se mojara.,0
355,Madonna despidió a su entrenadora porque no soportaba a su novio.,No podía soportar al novio de su entrenadora.,1
356,"En julio, Kamchatka declaró la guerra a Yakutsk. Como el ejército de Yakutsk estaba mucho mejor equipado y era diez veces mayor, resultó vencedor en pocas semanas.",Kamchatka resultó vencedor en pocas semanas.,0
357,Frank se sintió desolado cuando su rival de toda la vida Bill le dijo que había ganado la competición.,Bill había ganado la competición.,1
358,"Bob pagó la formación universitaria de Charlie, pero ahora Charlie actúa como si no lo hubiera hecho. Es muy desagradecido.",Bob es muy desagradecido.,0
359,"El Sr. Moncrieff visitó el lujoso apartamento de Chester en Nueva York, pensando que era de su hijo Edward. El resultado es que el Sr. Moncrieff ha decidido cancelar la asignación de Edward porque ya no necesita su ayuda financiera.",Ya no necesita la ayuda financiera del Sr. Moncrieff.,1
360,Los científicos están estudiando tres especies de peces que recientemente han descubierto en el Océano Índico. Aparecieron hace dos años.,Los científicos aparecieron hace dos años.,0
361,En la sala de estar de Mark hay una pintura de un roble. Está a la derecha de una casa.,La pintura está a la derecha de una casa.,0
362,Los policías arrestaron a todos los miembros de la banda. Intentaban acabar con el tráfico de drogas en el barrio.,Los miembros de la banda intentaban acabar con el tráfico de drogas en el barrio.,0
363,El Sr. Taylor era un hombre con un carácter inseguro y su tendencia general era pensar que David era un pobre tonto y que hiciera lo que hiciera por su cuenta sería una prueba más de su idiotez innata.,Hiciera lo que hiciera por su cuenta sería una prueba más de la idiotez innata del Sr. Taylor.,0
364,John corría por el parque cuando vio a un hombre que hacía malabares con sandías. Estaba muy impresionado.,El hombre que hacía malabares estaba muy impresionado.,0
365,Los zorros entran de noche y atacan a los pollos. Se han vuelto muy atrevidos.,Los pollos se han vuelto muy atrevidos.,0
366,"Adam no puede salir del trabajo hasta que Bob llegue para sustituirle. Si Bob hubiera salido de casa a tiempo, ahora ya habría llegado.",Ahora Adam ya habría llegado.,0
367,"En julio, Kamchatka declaró la guerra a Yakutsk. Como el ejército de Yakutsk estaba mucho mejor equipado y era diez veces mayor, resultó vencedor en pocas semanas.",Yakutsk resultó vencedor en pocas semanas.,1
368,"Mary acostó a su hija Anne, para que ella pudiera dormir.","Mary acostó a su hija Anne, para que Mary pudiera dormir.",0
369,"Cada día después de comer el Sr. Schmidt echaba una larga siesta. Mark le dejaba dormir durante una hora y después lo despertaba, lo reñía y le obligaba a trabajar. Necesitaba conseguir que acabara su trabajo, porque era muy bonito.","Mark necesitaba conseguir que acabara su trabajo, porque era muy bonito.",1
370,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que cumplieran los 21 años.,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que los hombres cumplieran los 21 años.,0
371,"A todos les gustaron mucho las galletas de avena, solo unos cuantos prefirieron las galletas de chocolate. La próxima vez, deberíamos hacer menos.",Deberíamos hacer menos galletas de chocolate.,1
372,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce años.","Cuando Fred vio por primera vez a mi padre, Fred tenía doce años.",1
373,Muchos lectores empiezan a leer los libros de Paul y no puede dejarlos. Son populares porque Paul escribe muy bien.,Los libros de Paul son populares porque Paul escribe muy bien.,1
374,Fred se tapó los ojos con los brazos porque el viento hacía que le entrara arena. Los abrió cuando el viento dejó de soplar.,Abrió los brazos cuando el viento dejó de soplar.,0
375,"El asno deseó que la verruga de su pata trasera desapareciera, y así fue.","El asno deseó que la verruga de su pata trasera desapareciera, y el asno desapareció.",0
376,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy estúpidos.",Los chatbots eran muy estúpidos.,0
377,Este libro introdujo a Shakespeare en Goethe; fue una gran influencia para su escritura.,Fue una gran influencia para la obra de Goethe.,1
378,"Vi a Jim gritando a un tipo con uniforme militar y una gran barba roja. No sé quién era, pero parecía muy triste.","No sé quién era el tipo con uniforme, pero parecía muy desdichado.",1
379,John no podía ver el escenario si Billy estaba delante de él porque es demasiado bajo.,Billy es demasiado bajo.,0
380,"George consiguió entradas gratis para la obra, pero se las dio a Eric, porque no tenía muchas ganas de verla.",George no tenía muchas ganas de verla.,1
381,"Alice limpiaba el polvo del salón e intentaba encontrar el botón que su madre había perdido. Hoy no tenía tiempo para mirar las fotos antiguas de su álbum favorito. Hoy tenía que buscar un botón, por lo que dejó el álbum sobre un sillón sin ni siquiera abrirlo.",Hoy no tenía tiempo para mirar las fotos antiguas del álbum favorito de su madre.,0
382,"Estaba intentando abrir el candado con la llave, pero alguien había llenado la cerradura con goma de mascar y no podía introducirla.",No podía introducir la goma de mascar.,0
383,La copa no cabe en la maleta marrón porque es demasiado pequeña.,La maleta es demasiado pequeña.,1
384,"El abogado hizo una pregunta al testigo, pero no quiso responderla.",El abogado no quiso responderla.,0
385,Joan se aseguró de dar las gracias a Susan por toda la ayuda que había recibido.,Joan se aseguró de dar las gracias a Susan por toda la ayuda que Susan había recibido.,0
386,"Mark solo podía pensar en Blaze, su caballo blanco. Temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran porque era tímido, por eso asumió él mismo la alimentación y el cuidado del animal.",Mark asumió él mismo la alimentación y el cuidado del animal.,1
387,"Tatyana llevaba dos guitarras y una bolsa, y todavía pudo señalar a los Freeman: ”¡Qué bien que han venido, mamá!”","”¡Qué bien que las dos guitarras y la bolsa hayan venido, mamá!”",0
388,Mark le contó a Pete muchas mentiras sobre sí mismo que Pete incluyó en su libro. Tendría que haber sido más realista.,Pete tendría que haber sido más realista.,0
389,Tom lanzó su mochila a Ray cuando llegó a la parte inferior de las escaleras.,Ray llegó a la parte inferior de las escaleras.,1
