sentence1_2_md5,sentence1,sentence1_gn,sentence2,sentence2_gn,label
d23d74ec462a03745414d4408e145c2a,Kirilov cedió la presidencia a Shatov porque era menos popular.,Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Kirilov era menos popular.,Kirilov sa'ive ojehayhu.,1
623b35aa4d1a64bb23ada9aa1285fbab,John contrató a Bill para cuidarlo.,John omomba'apo Bill-pe oñangareko haguã hese.,John contrató a Bill para cuidar a Bill.,John omomba'apo Bill-pe oñangareko haguã Bill rehe. ,0
da0834ae76fcf3121ff2d453936a5f6c,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce meses.","Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue 12 jasy.","Cuando Fred vio por primera vez a mi padre, mi padre tenía doce meses.","Fred ohecha ñepyrũramoguare che rúpe, che ru oguerekova'ekue 12 jasy.",1
d704c7db02332fee664783d64f3325de,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un golpe de suerte, habría perdido.",Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'áirire upe árape operde mo'ãkuri.,Bob habría perdido.,Bod operde mo'ãkuri.,0
590e95c1f47226cffb0ecb555c897673,"Mary acostó a su hija Anne, para que ella pudiera trabajar.",Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary acostó a su hija Anne, para que Mary pudiera trabajar.","Mary omoñeno imemby Anne-pe, Mary ikatu haguãicha omba'apo.",1
f68250bb316493d862cb7526fd2c0a63,James pidió un favor a Robert pero él se negó.,James ojerure Robert-pe oipytyvõmi haguã ichupe ha he'i ndojaposéiha.,Robert se negó.,Robert noipytyvõséi.,1
704efe119311ebe30c0fa7caeb7b3755,"El camino hasta el lago estaba cortado, por lo que no pudimos cogerlo.","Tape ohóva ypa peve oso, ha upéva rehe ndaikatúi roho upérupi.",No pudimos coger el camino.,Ndaikatúi roiporu tape.,1
b7a7906e3939d36a0cbf0a0c1db7d6a2,"Intentaba pintar un cuadro de árboles frutales, con limones en los limoneros, pero más bien parecían bombillas.","Añeha'ãkuri amoha'ãnga yvyra kuéra hi'áva, limón hi'áva hakãre, katu uvei ojoguave foco-pe. ",Los limones más bien parecían bombillas.,Umi limón ojoguave foco-pe.,1
a8af31ae40ed6d90bfedef82002f188b,Dan tenía que impedir que Bill siguiera jugando con el pájaro herido. Es muy compasivo.,Dan ojoko Bill-pe anivéma haguã oñemboharái upe guyra hasymíva rehe. Ha'e oporombyasykuaa.,Dan es muy compasivo.,Dan oporombyasykuaa.,1
84f886dd7c9b3d8be3b2c968a92d1721,Utilicé un paño viejo para limpiar el cuchillo y después lo tiré a la basura.,Aiporu peteĩ trapo tuja amopotĩ haguã kyse ha upe rire amombo ytýpe.,Tiré el paño a la basura.,Amombo trapo ytýpe.,1
c333926b7d1c64cdcb13c3e83e8ee60e,"El asno deseó que la verruga de su pata trasera desapareciera, y así fue.","Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upéicha oiko.","El asno deseó que la verruga de su pata trasera desapareciera, y la verruga desapareció.","Chavurro oipota okañy upe kytã oĩva ipy ikupepegua rehe, ha upe kytã okañy.",1
dfd3b74cd2d00a51026b729eed13c970,"El saco de patatas estaba debajo del saco de harina, por eso había que sacarlo primero.","Papa bosa oĩkuri harina bosa guýpe, upéva rehe ojeipe'arãemanteva'erã",Había que sacar primero el saco de patatas., Ojeipe'arãemanteva'erã papa bosa.,0
2e727917f1bb8ee0543e6b785aca85a2,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que cumplieran los 21 años.,Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã omboty peve 21 ary.,Los hombres tenían derecho a que sus hijos trabajaran para ellos hasta que los hijos cumplieran los 21 años.,Tuvakuéra iderécho ita'yrakuéra omba'apóvo ichupekuéra g̃uarã ita'yrakuéra omboty peve 21 ary.,1
8a4bdb7715f22c29d374ec84ead9a9b0,"Los estudiantes mayores acosaban a los más jóvenes, por eso fuimos a ayudarles.","Temimbo'ekuéra tuichavémava orairõ umi imitãvévape, upéva rehe roho roipytyvõ haguã ichupekuéra.",Fuimos a ayudar a los estudiantes más jóvenes.,Roho roipytyvõ umi temimbo'e imitãvévape.,1
fd466307b046d28701aa9c800b8dfd57,"Esta mañana, Joey ha construido un castillo de arena en la playa y ha puesto un estandarte en la torre más alta, pero por la tarde el viento lo ha derribado.","Ko pyharevépe, Joey omopu'ãkuri peteĩ castillo yvýgui playa-pe ha omoĩ peteĩ poyvi'i torre ijyvatevévape, katu ka'aru g̃uarã oitýma yvytu.",Por la tarde el viento ha derribado el estandarte.,Ka'aru g̃uarã oitýma yvytu upe poyvi'i.,1
d86d38ad3acfc6fca09140f60e437101,Ann dio a luz a una niña el mes pasado. Es una niña encantadora.,Ann imembýkuri peteĩ mitãkuña jasy ohasava'ekuépe. Peteĩ mitãkuña ndejukýva.,La hija de Ann es una niña encantadora.,Ann memby ha'e peteĩ mitãkuña ijukýva.,1
3884239cd720c5b52f2c3e9a86f1cc2a,"Grant cultivó sus garbanzos con gran esfuerzo para que él y su familia pudieran comer en invierno. Su amigo Henry le dejó guardarlos en su granero para que se secaran. Después, él y Tatyana los desgranarían y los cocinarían para sus comidas de los domingos.","Grant heta ñeha'ãme oñotỹ garbanzo ho'u haguã hogayguakuéra ndive og̃uahẽ vove ára ro'y. Iñangirũ Henry, ome'ẽ ichupe oñongatu haguã galpon-pe ha upépe ta'ipiru. Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave. ","Después, él y Tatyana los desgranarían y los cocinarían para las comidas de los domingos de él y Tatyana.","Upe rire, ha'e ha Tatyana ojykýita ha ojapo chugui hembi'urã arateĩ jave, ha'e ha Tatyana-pe g̃uarã",1
4d7ec43f8e4d5a3b509e9287839e3b9a,Este libro introdujo a Shakespeare en Ovidio; fue una buena selección de su obra.,"Ko aranduka omoĩnge Shakespeare-pe Ovidio remimo'ãme, ojeiporavoporã ko'ã hembiapokue.",Fue una buena selección para la escritura de Ovidio.,Ojeiporavoporã ko'ã hembiapokue Ovidio jehaipyrãme.,1
55064f4112254ea2fd0490b39261e346,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que se enfrentó en su investigación.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua hesegua tembikuaareka.,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que Jenofonte se enfrentó en su investigación.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta iñapañuãi ojapo hag̃ua Jenofonte tembikuaareka.,0
00553706b7ea76d844995b34945ad2b4,"Jackson estaba muy influido por Arnold, aunque vivió dos siglos después.","Jackson omomba'eguasueterei Arnold-pe, jepémo heñói 200 ary upe riréma. ",Arnold vivió dos siglos después.,Arnold heñói 200 ary upe riréma.,0
9fdd30833b9725f7cae743961f0e1197,Joe ha vendido su vieja casa y ha comprado una nueva a pocos kilómetros de distancia. Se va a marchar de ella el jueves.,Joe ovendékuri hóga tuja ha ojogua peteĩ ipyahúva namombyryiete upégui. Ohóta upégui ágã arapópe.,Se va a marchar de la casa nueva el jueves.,Ohótama óga pyahúgui arapópe.,0
16e56cc6187ffa7ccfb22e7828cb3671,Joan se aseguró de dar las gracias a Susan por toda la ayuda que había recibido.,Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan se aseguró de dar las gracias a Susan por toda la ayuda que Joan había recibido.,Joan oaguyjeme'ẽ Susan-pe opaite ñepytyvõ Joan-pe oñeme'ẽva'ekue rehe.,1
a683d445d68183fd79b5e2fdfbdc1d2d,"Larry, un adolescente tímido, vive con su madre viuda en una vivienda social en Brooklyn. El padre de Larry, líder de una banda, murió en un tiroteo; el discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y le enseña a traficar con drogas.","Larry, mitãrusu itĩndymíva, oiko isy viuda ndive peteĩ óga social Brooklyn-pe. Larry túva, omyakãva'ekue mondaha aty, ojejuka peteĩ ñoa'ãhápe; itúva remimbo'ekue, Antonio, oñangareko Larry rehe ha ombo'e ichupe omba'apo haguã droga rehe. ","El discípulo de su padre, Antonio, ha tomado a Larry bajo su protección y enseña a Antonio a traficar con drogas.","Upe túva remimbo'e, Antonio, oguereko Larry-pe hendive ha ombo'e Antonio-pe ovende hag̃ua droga.",1
3da6d7e156735e1af26a7750ba05d6eb,"Bob pagó la formación universitaria de Charlie, pero ahora Charlie actúa como si no lo hubiera hecho. Es muy desagradecido.","Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Ndohechakuaáiete upe ojejapova'ekue hese.",Bob es muy desagradecido.,Bob ndoaguyjeme'ẽi araka'eve.,0
46e15cd952c57054d484ca0d604f4bab,"Adam no puede salir del trabajo hasta que Bob llegue para sustituirle. Si Bob hubiera salido de casa a tiempo, ahora ya habría llegado.","Adam ndaikatúi osẽ imba'apohágui Bob og̃uahẽ meve opyta hag̃ua hendaguépe. Bob osẽ voive guive hógagui, ko'ágã og̃uahẽmaramo'ã.",Ahora Adam ya habría llegado.,Ko'ág̃a Adam og̃uahẽmaramo'ã.,0
1360c07c0b30b4820182d3ac964bb5fd,"Fred es el único hombre vivo que todavía recuerda a mi padre cuando era niño. Cuando Fred vio por primera vez a mi padre, tenía doce años.","Fred añóntema kuimba'e oikovéva imandu'áva che túva rehe yma imitãramoguare. Fred ohecha ñepyrũramoguare che rúpe, oguerekova'ekue pakõi ary.","Cuando Fred vio por primera vez a mi padre, Fred tenía doce años.","Fred ohecha ñepyrũvo che túvape, Fred oguereko kuri pakõi ary.",1
a4e4248a34a1fe763b8af47a39658aea,Muchos lectores empiezan a leer los libros de Paul y no puede dejarlos. Son populares porque Paul escribe muy bien.,Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Ojehecharamo Paul ohaiporãiterei rupi.,Los libros de Paul son populares porque Paul escribe muy bien.,Paul arandukakuéra herakuãguasu Paul ohaiporã añetete rupive.,1
1fe899eb4e712dbc5a155083cc262f2c,"En el concurso Loebner los jueces no podían decidir qué concursantes eran los chatbots, porque eran muy estúpidos.","Jeporavo Loebner oikova'ekuépe umi juez noñemoĩri peteĩ ñe'ẽme mavaitévapa umi concursante apytépe ha'e chatbots, oñembotavyeterei rupi hikuái.",Los chatbots eran muy estúpidos.,Umi chatbots ivyrorasáma.,0
9dca8b242c25cc670aba8539289756a1,"Vi a Jim gritando a un tipo con uniforme militar y una gran barba roja. No sé quién era, pero parecía muy triste.","Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape, ha'etévaicha oñembyasyetereíva.","No sé quién era el tipo con uniforme, pero parecía muy desdichado.","Ndaikuaái mávapa pe karai oguerekóva uniforme, hákatu ha'ete ndovy'áiva.",1
d4024ab60c927c0dffbd12eed1385b58,John no podía ver el escenario si Billy estaba delante de él porque es demasiado bajo.,John ndaikatúi ohecha escenario Bill oñemoĩramo henonderã ha'e ikarape'eterei rupi.,Billy es demasiado bajo.,Billy ikaraperasántema.,0
-*-,"El abogado hizo una pregunta al testigo, pero no quiso responderla.","Abogado oporandu upe testigo-pe, katu nombohováiri ichupe.",El abogado no quiso responderla.,Upe abogado nombohovaiséi.,0
9e582fa767c990841ed583d9d6dbf7a7,Joan se aseguró de dar las gracias a Susan por toda la ayuda que había recibido.,Joan omboaguyje Susan-pe hetaite oipytyvõ rehe ichupe.,Joan se aseguró de dar las gracias a Susan por toda la ayuda que Susan había recibido.,Joan oaguyjeveme'ẽ Susan-pe opaite ñepytyvõ Susan-pe oñeme'ẽva'ekue rehe.,0
b334c3a313b3eaf5a6fc669ee94f52b8,"Mark solo podía pensar en Blaze, su caballo blanco. Temía que los mozos de las caballerizas de Burlington Stables se metieran con él y le acosaran porque era tímido, por eso asumió él mismo la alimentación y el cuidado del animal.","Mark imandu'a Blaze rehentevoi, ikavaju morotĩ. Okyhyje umi Burlington Stables kavaju rógape oñangarekóvagui ani ojahéi hese hekomirĩmi rupi,  upéva rehe ha'etevoi omongaru ha oñangareko hese.  ",Mark asumió él mismo la alimentación y el cuidado del animal.,Mark ha'etévoi omongaru ha oñatende pe mymba rehe.,1
830239e73c4d70c2973ba73fafdf3e87,"Tatyana llevaba dos guitarras y una bolsa, y todavía pudo señalar a los Freeman: ”¡Qué bien que han venido, mamá!”","Tatyana oguerahína mokoĩ mbaraka ha peteĩ vosa, ha upéicharõ jepe imandu'a Freeman kuéra rehe: Iporãite piko che sy ouhaguére hikuái! ","”¡Qué bien que las dos guitarras y la bolsa hayan vendido, mamá!”","”¡Ajépa iporã umi mokõi mbaraka ha pe vosa ovendére, che sy!”",0
0393788a1b4ce1a5f14e78a35d4b0415,Tom lanzó su mochila a Ray cuando llegó a la parte inferior de las escaleras.,Tom omombo ivoko Ray-pe oguejypávo ohóvo escalera.,Ray llegó a la parte inferior de las escaleras.,Ray og̃uahẽ upe jupiha karapevehápe.,1
7c6ea847c534e4e10313d48c3325e862,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un golpe de suerte, habría perdido.",Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire upe árape operde mo'ãkuri.,Adam habría perdido.,Adam ohundíma.,1
cf21724c5948a9e451306c5aa6e6dc9a,"Mi reunión empezaba a las 16:00 y tenía que coger el tren a las 16:30 por lo que no me quedaba mucho tiempo. Por suerte, fue breve y todo salió bien.","Añembyatyva'erã ágã 16:00 aravo jave ha upeva'erã ajupíta tren ohasáva 16:30 aravópe ha upévare mbykypaite chearavo. Iporãveha, mbykymínte ha osẽ porãmbaite.",La reunión fue breve y todo salió bien.,Upe aty sapy'ami oiko ha osẽporãmba.,1
2427a2df7b0f5e89059f8acfc592f349,"Sid explicó su teoría a Mark, pero no le entendió.","Sid omombe'u hemimo'ã Mark-pe, katu nahesakãi ichupe.",Sid no le entendió.,Sid noikumbýi chupe.,0
c2dea8cf7a15e6faa740d65e1b4a78d2,La mesa no pasará por la puerta porque es demasiado ancha.,Mesa nda'ijamo'ãi okẽrupi ipeterei rupi.,La mesa es demasiado ancha.,Upe mesa ipetereíma.,1
aac25855debc3d5c35f89d42d763f7b6,Sara tomó prestado un libro de la biblioteca porque lo necesita para un artículo en el que está trabajando. Lo escribe cuando llega a casa del trabajo.,Sara oiporu aranduka arandukarendágui oikotevẽ rupi ohai hag̃ua peteĩ artículo omba'apovahína hese. Ohai hógape og̃uahẽ rire imba'apohágui.,Escribe el artículo cuando llega a casa del trabajo.,Ehai upe artículo eg̃uahẽvo nde rógape ne mba'apohágui.,1
c0e8d906753a5d7c3613bc9a2991c1a7,Jane dio golosinas a Joan porque no tenía hambre.,Jane ome'ẽ mba'ehe'ẽ Joan-pe naiñembyahýi rupi.,Joan no tenía hambre.,Joan nda'ivare'ái.,0
0c6d8c7c4f2fe0c54550a60a96396fb3,"Cuando Andrea pasó con la avioneta por encima de Susan, pudo ver el tren de aterrizaje.","Andrea ohasávo avioneta-pe Susan ári, ohechákuri upe aviõ rueda ojeguejyha.",Susan pudo ver el tren de aterrizaje.,Susan ohecha upe aviõ rueda ojeguejyha.,1
f590311c2c6c72b48ee9fae1e4af1841,"Fuimos al lago, porque se había visto un tiburón en la playa del océano, y era un lugar peligroso para nadar.","Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ojeyta hag̃ua upépe.",La playa del océano era un lugar peligroso para nadar.,Pe océano rembe'y ybyku'i oĩha ijetu'u eyta hag̃ua.,1
3ed24c6d9a2e23532919a258ff5a33b1,Steve siempre sigue el ejemplo de Fred. Le admira mucho.,Steve akóinte oguereko Fred-pe techapyrãramo. Ohecharamoiterei ichupe.,Steve le admira mucho.,Steve ohecharamo ichupe.,1
6ad6474f50bde6fde713de48255a0489,La escultura cayó de la estantería porque no estaba recta.,Ta'ãnga ho'a upe hendágui noñemoĩporãi rupi.,La escultura no estaba recta.,Upe ta'ãnga noñembo'yporãi.,0
2daecdeceab0bd6c0111cfb0689fb571,El dibujo de Sam estaba colgado justo encima del de Tina y parecía mucho mejor con otro encima.,San ojapova'ekue ta'ãnga oñemosãingo upe Tina mba'e ariete ha ha'etévaicha iporãvéva ambue oñemoĩramo hi'ári.,El dibujo de Sam parecía mucho mejor con otro encima.,Upe ta'ãnga Sam mba'éva ha'ete iporãvaitevéva ambue oĩre hi'ári.,0
62d716ce622ecfbf68f4538200b5391b,"Fuimos al lago, porque se había visto un tiburón en la playa del océano, y era un lugar peligroso para nadar.","Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ko tenda ojeyta hag̃ua.",El lago era un lugar peligroso para nadar.,Upe ypa ijetu'u eyta hag̃ua.,0
f727b293fe8f8e24755f8409332df282,"Cada día después de comer el Sr. Schmidt echaba una larga siesta. Mark le dejaba dormir durante una hora y después lo despertaba, lo reñía y le obligaba a trabajar. Necesitaba conseguir que acabara su trabajo, porque era muy bonito.","Karai Schmit katuete okarupa rire oho oke areporã. Mark oheja ichupe oke 1 aravórupi ha upéi oho omombáy, oja'o ha upéi ojopy ichupe omba'apo haguã. Oikotevẽ hese tojapopa hembiapo, iporãiterei rupi hembiapokue.","El Sr. Schmidt necesitaba conseguir que acabara su trabajo, porque su trabajo era muy bonito.","Upe karai Schmidt oikotevẽkuri omohu'ã añetehápe hembiapo, péva iporã añete rupi.",0
4def112afa9d66e84999e0e6f3593292,El camión de reparto adelantó al autobús escolar porque iba demasiado rápido.,Kamiõ ojapóva reparto ohasa mba'yruguata ogueraháva mitãnguéra mbo'ehaópe ,El camión de reparto iba demasiado rápido.,Upe kamiõ mba'e rerahaha oho hatãitereikuri.,1
f94cfe545fb63a568a3a05ad7afe9de3,"Mary acostó a su hija Anne, para que ella pudiera trabajar.",Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary acostó a su hija Anne, para que la hija de Mary pudiera trabajar.","Mary omoñeno imemby Anne-pe, upe Mary memby omba'apokuaa hag̃ua.",0
6a905eb4d97bf015e99bada24fa56881,Muchos lectores empiezan a leer los libros de Paul y no puede dejarlos. Quedan atrapados porque Paul escribe muy bien.,Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Opyta hendive Paul ohaiporãiterei rupi.,Los libros de Paul quedan atrapados porque Paul escribe muy bien.,Paul arandukaita opyta apytĩmbýpe Paul ohaiporã añetete rupive.,0
e7804a81a36880e0875600ac7e91614b,Jim gritaba a Kevin porque estaba muy enfadado.,Jim osapukái Kevin-pe ipochyeterei rupi hendive.,Kevin estaba muy enfadado.,Kevin ipochyeterei.,0
b65dec21e4c8b2ddbce402cbeceacd78,Kirilov cedió la presidencia a Shatov porque era menos popular.,Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Shatov era menos popular.,Shatov sa'ive ojekuaa.,0
f541cbc2b374c484b17f9d3e5a9e2f3b,"Sam iba a clase de francés con Adam, porque estaba orgulloso de hablarlo muy bien.","Sam ohómiva oñemoarandu francés Adam ndive, ipy'aroryeterei oñe'ẽ porãhaguére.",Sam estaba orgulloso de hablarlo muy bien.,Sam ijerovu oñe'ẽporãiterei haguére.,1
7302251dabaadd7d692c4ea26554b7d2,Los concejales negaron el permiso a los manifestantes porque temían la violencia.,Umi consejal nomoneĩséi umi manifestante-pe okyhyje rupi oikórõ g̃uarã sarambi.,Los manifestantes temían la violencia.,Umi oñembyatýva okyje ñenupãvaipágui.,0
4bee8c0bec189f642b0af78aef6196b6,"Bob pagó la formación universitaria de Charlie, pero ahora Charlie actúa como si no lo hubiera hecho. Está muy dolido.","Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Hasy chupe upéva.",Charlie está muy dolido.,Charlie-pe hasy oikóvare.,0
56f68c363981916623a41ae8bc84416e,¡Mira! Hay un tiburón nadando justo debajo del pato. Mejor que se apresure hasta un lugar seguro.,¡Emañami! Oĩ peteĩ tiburón ohasáva ype guýrupi. Tekotevẽ pya'emi oho peteĩ tenda oĩporãve hag̃uame. ,Mejor que el pato se apresure hasta un lugar seguro.,Iporãvéta pe ype ohóramo tenda iñapañuai'ỹhápe.,1
08f43b429fa10ecd6bc54186dc64166e,"Bob jugaba a cartas con Adam e iba ganando. Si Adam no hubiera tenido un repentino golpe de suerte, él habría ganado.",Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire peichaguiete upe árape oganaramo'ãkuri.,Bob habría ganado.,Bob ha'ete oganáva.,1
cfff967f79c372b5b3fd8a218035eafd,"Era una tarde de verano, y el perro estaba tumbado en medio del césped. Al cabo de un rato, se levantó y se fue bajo el árbol, porque estaba más fresco.","Peteĩ arahaku ka'arúpe, jagua oñenohína kapi'ipe mbytépe. Upe rire pukumi, opu'ã ha oho yvyra guýpe,  ho'ysãve rupi upépe. ",El lugar bajo el árbol estaba más fresco.,Upe yvyraguy porãme ha'ete ipiro'yvéva.,1
bdd9e7d6d9b7ec14a3589cbd607e7d5d,Carol creía que Rebecca lamentaba haber robado el reloj.,Karol oimo'ãkuri Rebecca oimbyasyha omondahaguére pe aravopapaha.,Carol creía que Rebecca lamentaba que Carol hubiera robado el reloj.,Carol orovía Rebecca oñalamentaha Carol omondáre aravopapaha.,0
8bb98609d775430c714b696b9697c2c5,Billy lloraba porque Toby no quería aceptar su juguete.,Billy hasẽkuri Toby ndoipotái rupi ihugéte.,Billy lloraba porque Toby no quería aceptar el juguete de Billy.,Billy hasẽ Toby ndoipotáire Billy ñembosaraiha.,1
e51f25f07f7f16a0da061f245e273bdb,La Dra. Adams informó a Kate de que se había jubilado y le presentó varias opciones para su futuro tratamiento.,Dra. Adams omombe'u Kate-pe ojehuvilamahague ha he'i ichupe mba'épa ojapokuaa tenonderãve oñepohano hag̃ua.,Kate se había jubilado y le presentó varias opciones para su futuro tratamiento.,Kate ojejubiláma ha omog̃uahẽ chupe hetaichagua ñepohano tenonderãguápe g̃uarã.,0
6e6d94838143c7facb1f42cf8a47a07b,"La actriz se llamaba Terpsichore, pero hace unos años cambió su nombre por el de Tina porque creía que era demasiado difícil de pronunciar.","Actriz herava'ekue Terpsichore, katu ndaha'éi aretereíva oñembohéra Tina he'íre ha'e hasyetereiha oje'e hag̃ua.  ",Tina era demasiado difícil de pronunciar.,Tina hasyeterei emoñe'ẽ hag̃ua.,0
9e9fe72807f476b486e963f73d7e8294,"Incluso antes de llegar a la ciudad, pudieron escuchar un ruido como de maíz tostándose. Dora preguntó qué era y papá dijo que eran petardos.","Tavusúpe og̃uahẽ guivéma, ohendu hikuái hyapúva ha'ete avati oñemaimbevahína. Dora oporandu mba'épa ha che ru he'i ichupe oñembokapuha.",Dora preguntó qué era aquella ciudad.,Dora oporandu mba'épa pe táva.,0
c651d564df2be86866a90a1da9cac504,La Dra. Adams informó a Kate de que tenía cáncer y presentó varias opciones para su futuro tratamiento.,Dra. Adams omombe'u Kate-pe oguerekoha cáncer ha he'i ichupe mba'épa ojapokuaa oñepohano hag̃ua. ,La Dra. Adams tenía cáncer y presentó varias opciones para su futuro tratamiento.,Dra. Adams oguereko cáncer ha ohechauka hetaichagua ñepohano tenondeverã.,0
c3a9e128d043ee76be6bc518ca784018,"Vi a Jim gritando a un tipo con uniforme militar y una gran barba roja. No sé quién era, pero parecía muy triste.","Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape. Ndaikuaái mávapa, katu ha'ete oñembyasyetereíva.","No sé quién era Jim, pero parecía muy triste.","Ndaikuaái mávapa Jim, hákatu ha'ete ndovy'áiva.",0
457df3de0ae666095892cfb5360f1bad,"Cuando Tatyana llegó al camarote, su madre estaba durmiendo. Entró con cuidado para no despertarla, se desvistió y subió a su litera.","Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.","Entró con cuidado para no despertarla, se desvistió y subió a la litera de Tatyana.","Oike kirirĩhápe ani hag̃ua oporomombáy, oñemboi ha ojupi Tatyana rupápe.",1
f74f741ff4a4fff018839f121481f660,Jim hizo señas al camarero y le señaló su vaso vacío.,Jim ojapo seña bar-pe oñatendévape ha ohechauka ichupe ivaso inandiha.,Jim hizo señas al camarero y le señaló el vaso vacío de Jim.,Jim ojepoupi camarérope ha ohechauka pe Jim kagua inandiha.,1
3f363cbca93a84089e8858571dbf9b2d,Pete envidia a Martin aunque tiene mucho éxito.,Pete ,Pete tiene mucho éxito.,Pete ikatupyryrasa.,1
54f603b0d36ae91c8cc108ad8b40c6af,"George consiguió entradas gratis para la obra, pero se las dio a Eric, aunque tenía muchas ganas de verla.","George oguereko entrada reínte jeike haguã ñoa'ãngahápe, katu ome'ẽ Eric-pe, jepémo ha'e avei ohechasékuri.",George tenía muchas ganas de verla.,George ohechasetereíma chupe.,1
ee4f5ff3ce700f0fa0e5dee5d6bfdf75,En la sala de estar de Mark hay una pintura de un roble. Está a la derecha de una casa.,Mark sala ñeimeháme oĩ peteĩ pintura roble ra'ãnga. Oĩ peteĩ óga akatúa gotyo.,El roble está a la derecha de una casa.,Upe roble oĩhína pe óga akatúa gotyo.,1
dc0589241a4e30109a1c27986bc26fe4,Billy lloraba porque Toby no quería compartir su juguete.,Billy hasẽkuri Toby ndoiporukaséi rupi chupe ihugéte.,Billy lloraba porque Toby no quería compartir el juguete de Billy.,Billy hasẽ Toby ndoiporukaséi haguére pe ñembosaraiha Billy-pe.,0
14ab6ba8cb1f5e404e99a34336313f11,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que se enfrentó en su infancia.,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta ohasa'asy yma imitãme.,La biografía de Sam Goodman sobre el general espartano Jenofonte transmite una vívida visión de las dificultades con las que Goodman se enfrentó en su infancia.,Upe Sam Goodman omombe'úva pe general espartano Jenofonte rekovekue rehegua ohechauka añetehápe mba'eichaitépa Goodman oikoasyetereihague imitãramoguare.,0
7f011351208953e538b663d6f4fb182a,"Jane llamó a la puerta de Susan, pero no hubo respuesta. Había salido.","Jane ombota Susan-pe hokẽ, ha mavave nombohovái ichupe. Osẽkuri.",Susan había salido.,Susan osẽmakuri.,1
6d6192e08974adac629df72dfde42438,John estaba estudiando en la biblioteca cuando escuchó a un hombre que murmuraba y silbaba. Era muy molesto.,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Oporomyangekói upéva. ,El hombre era muy molesto.,Upe karai oporomoangekoieterei.,1
561a99e5877f1fcd1126dbe72b5cace2,"En medio del concierto al aire libre empezó a llover, pero siguió hasta las 10.","Concierto oiko javehína inandihápe oñepyrũ oky sapy'a, katu oho hese 10 aravo peve.",El concierto siguió hasta las 10.,Upe jepurahéi ipuku 10 aravo peve.,1
