ref,sentence1,sentence2,score
2daecdeceab0bd6c0111cfb0689fb571,San ojapova'ekue ta'ãnga oñemosãingo upe Tina mba'e ariete ha ha'etévaicha iporãvéva ambue oñemoĩramo hi'ári.,Upe ta'ãnga Sam mba'éva ha'ete iporãvaitevéva ambue oĩre hi'ári.,0
62d716ce622ecfbf68f4538200b5391b,"Rohókuri ypápe, ojehecha rupi peteĩ tiburón océano playa-pe, ha naiporãivoi ko tenda ojeyta hag̃ua.",Upe ypa ijetu'u eyta hag̃ua.,0
f727b293fe8f8e24755f8409332df282,"Karai Schmit katuete okarupa rire oho oke areporã. Mark oheja ichupe oke 1 aravórupi ha upéi oho omombáy, oja'o ha upéi ojopy ichupe omba'apo haguã. Oikotevẽ hese tojapopa hembiapo, iporãiterei rupi hembiapokue.","Upe karai Schmidt oikotevẽkuri omohu'ã añetehápe hembiapo, péva iporã añete rupi.",0
4def112afa9d66e84999e0e6f3593292,Kamiõ ojapóva reparto ohasa mba'yruguata ogueraháva mitãnguéra mbo'ehaópe ,Upe kamiõ mba'e rerahaha oho hatãitereikuri.,1
f94cfe545fb63a568a3a05ad7afe9de3,Mary omoñeno imemby Anne-pe. ha'e ikatu haguãicha omba'apo.,"Mary omoñeno imemby Anne-pe, upe Mary memby omba'apokuaa hag̃ua.",0
6a905eb4d97bf015e99bada24fa56881,Hetáma oĩ omoñe'ẽva Paul aranduka ha ndaikatuvéi oheja hikuái. Opyta hendive Paul ohaiporãiterei rupi.,Paul arandukaita opyta apytĩmbýpe Paul ohaiporã añetete rupive.,0
e7804a81a36880e0875600ac7e91614b,Jim osapukái Kevin-pe ipochyeterei rupi hendive.,Kevin ipochyeterei.,0
b65dec21e4c8b2ddbce402cbeceacd78,Kirilov oheja tetã ñeisãmbyhy Shatov-pe sa'ive ojehayhurupi.,Shatov sa'ive ojekuaa.,0
f541cbc2b374c484b17f9d3e5a9e2f3b,"Sam ohómiva oñemoarandu francés Adam ndive, ipy'aroryeterei oñe'ẽ porãhaguére.",Sam ijerovu oñe'ẽporãiterei haguére.,1
7302251dabaadd7d692c4ea26554b7d2,Umi consejal nomoneĩséi umi manifestante-pe okyhyje rupi oikórõ g̃uarã sarambi.,Umi oñembyatýva okyje ñenupãvaipágui.,0
4bee8c0bec189f642b0af78aef6196b6,"Bob opaga Charlie rehe oñemoarandu haguã mbo'ehaovusúpe, katu ko'ágã Charlie oiko mba'eve'ỹrõguáicha. Hasy chupe upéva.",Charlie-pe hasy oikóvare.,0
56f68c363981916623a41ae8bc84416e,¡Emañami! Oĩ peteĩ tiburón ohasáva ype guýrupi. Tekotevẽ pya'emi oho peteĩ tenda oĩporãve hag̃uame. ,Iporãvéta pe ype ohóramo tenda iñapañuai'ỹhápe.,1
08f43b429fa10ecd6bc54186dc64166e,Bod oha'ã baraja Adam ndive ha oganákuri ohóvo. Adam nda'ipo'ái rire peichaguiete upe árape oganaramo'ãkuri.,Bob ha'ete oganáva.,1
cfff967f79c372b5b3fd8a218035eafd,"Peteĩ arahaku ka'arúpe, jagua oñenohína kapi'ipe mbytépe. Upe rire pukumi, opu'ã ha oho yvyra guýpe,  ho'ysãve rupi upépe. ",Upe yvyraguy porãme ha'ete ipiro'yvéva.,1
bdd9e7d6d9b7ec14a3589cbd607e7d5d,Karol oimo'ãkuri Rebecca oimbyasyha omondahaguére pe aravopapaha.,Carol orovía Rebecca oñalamentaha Carol omondáre aravopapaha.,0
8bb98609d775430c714b696b9697c2c5,Billy hasẽkuri Toby ndoipotái rupi ihugéte.,Billy hasẽ Toby ndoipotáire Billy ñembosaraiha.,1
e51f25f07f7f16a0da061f245e273bdb,Dra. Adams omombe'u Kate-pe ojehuvilamahague ha he'i ichupe mba'épa ojapokuaa tenonderãve oñepohano hag̃ua.,Kate ojejubiláma ha omog̃uahẽ chupe hetaichagua ñepohano tenonderãguápe g̃uarã.,0
6e6d94838143c7facb1f42cf8a47a07b,"Actriz herava'ekue Terpsichore, katu ndaha'éi aretereíva oñembohéra Tina he'íre ha'e hasyetereiha oje'e hag̃ua.  ",Tina hasyeterei emoñe'ẽ hag̃ua.,0
9e9fe72807f476b486e963f73d7e8294,"Tavusúpe og̃uahẽ guivéma, ohendu hikuái hyapúva ha'ete avati oñemaimbevahína. Dora oporandu mba'épa ha che ru he'i ichupe oñembokapuha.",Dora oporandu mba'épa pe táva.,0
c651d564df2be86866a90a1da9cac504,Dra. Adams omombe'u Kate-pe oguerekoha cáncer ha he'i ichupe mba'épa ojapokuaa oñepohano hag̃ua. ,Dra. Adams oguereko cáncer ha ohechauka hetaichagua ñepohano tenondeverã.,0
c3a9e128d043ee76be6bc518ca784018,"Ahecha Jim osapukái peteĩ kuimba'e ijao militar ha tuicha hendyva pytãvape. Ndaikuaái mávapa, katu ha'ete oñembyasyetereíva.","Ndaikuaái mávapa Jim, hákatu ha'ete ndovy'áiva.",0
457df3de0ae666095892cfb5360f1bad,"Tatyana og̃uahẽ ikoty'ípe, isy okehína. Oike kirĩrĩhamete ani hag̃ua omombáy ichupe, oñemboi ha ojupi hupápe.","Oike kirirĩhápe ani hag̃ua oporomombáy, oñemboi ha ojupi Tatyana rupápe.",1
f74f741ff4a4fff018839f121481f660,Jim ojapo seña bar-pe oñatendévape ha ohechauka ichupe ivaso inandiha.,Jim ojepoupi camarérope ha ohechauka pe Jim kagua inandiha.,1
3f363cbca93a84089e8858571dbf9b2d,Pete ,Pete ikatupyryrasa.,1
54f603b0d36ae91c8cc108ad8b40c6af,"George oguereko entrada reínte jeike haguã ñoa'ãngahápe, katu ome'ẽ Eric-pe, jepémo ha'e avei ohechasékuri.",George ohechasetereíma chupe.,1
ee4f5ff3ce700f0fa0e5dee5d6bfdf75,Mark sala ñeimeháme oĩ peteĩ pintura roble ra'ãnga. Oĩ peteĩ óga akatúa gotyo.,Upe roble oĩhína pe óga akatúa gotyo.,1
dc0589241a4e30109a1c27986bc26fe4,Billy hasẽkuri Toby ndoiporukaséi rupi chupe ihugéte.,Billy hasẽ Toby ndoiporukaséi haguére pe ñembosaraiha Billy-pe.,0
14ab6ba8cb1f5e404e99a34336313f11,Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta ohasa'asy yma imitãme.,Upe Sam Goodman omombe'úva pe general espartano Jenofonte rekovekue rehegua ohechauka añetehápe mba'eichaitépa Goodman oikoasyetereihague imitãramoguare.,0
7f011351208953e538b663d6f4fb182a,"Jane ombota Susan-pe hokẽ, ha mavave nombohovái ichupe. Osẽkuri.",Susan osẽmakuri.,1
6d6192e08974adac629df72dfde42438,John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Oporomyangekói upéva. ,Upe karai oporomoangekoieterei.,1
561a99e5877f1fcd1126dbe72b5cace2,"Concierto oiko javehína inandihápe oñepyrũ oky sapy'a, katu oho hese 10 aravo peve.",Upe jepurahéi ipuku 10 aravo peve.,1
831378d2e921aa3d32a6f42785d51fb9,"Mark opensa Blaze rehe añoite, ikavaju morotĩ. Okyhyje umi kavaju oikohapegua omba'apovakuéra Burlington Stables mba'éva omyangekóivo chupe ikoyguaiterei rupi, upévare ha'etévoi omongaru ha oñantendéta ko mymba rehe.",Blaze okyhyje umi kavaju oikohapegua omba'apovakuéra Burlington Stables mba'éva omyangekóivo chupe.,0
7cb2de073540b7b7f6293e49930cdc62,"Ojetetira aja, upe kuñakarai opukavy pe mitãkuña'ípe.","Opoko aja upe kuña atúare, pe kuña opukavy mitãkuña'ípe.",1
196cf03e0e11f5f6ef1f799ab072f3c3,"Beth ndaipochýi ñetehápe Sally ndive, oñe'ẽ jokóva ichupe, oha'ãrõ ha oñepomoĩ ichupe.",Beth oñembo'y ha ojerure omoñyrõmi hag̃ua chupe.,0
cc05aacc464a8858cb55717225e73c02,Upe kagua ndoikéi pe aoryruguasu marrõvape tuichaiterei rupi.,Pe kagua ñemokõha tuichaiterei.,1
560c44eb2b780476bf47b1daf1954e14,"Opaite votõ Dora aopuku tapykue gotyoguáva oñeprende okáguivo añónte. Maude ha'eva'erãkuri pe oprendéva, hákatu nahániri, oheja Dora-pe ha'eñorei ojapóvo ikatumíva añónte.",Oheja Dora-pe ojapo hag̃uáicha ha'e ojapo hag̃ua ikatumiháicha.,1
8137f1642975a09c12f445c77646f263,"Alice omopotĩ mba'etimbo kotyguasupegua ha ohekahápe avei pe votõ isy ohundiva'ekue. Ko árape ndarekói pa'ũ ahecha hag̃ua ta'ãnga ymaguare pe ta'ãngaryru ahayhuvévape. Ko árape ahekáta kuri peteĩ votõ, ohejahápe ta'ãngaryru apykaguasu ári ohecha'ỹre mba'evete.",Alice ohekava'erãkuri votõ.,1
f9165f8d800fa06ea5875bd670527097,Fred ohecha téle George osẽ aja ojogua tembi'u. Peteĩ aravo haguépe ou jey.,Fred ou jey.,0
5c0cc68db6e4a557741460e2528b2b8c,"Sam oho mbo'ehakotýpe oikuaaségui francés Adam ndive, ijerovúgui oñe'ẽporãitereiha.",Adam ojerovu oñe'ẽporãiterei haguére.,0
f62ab837da385a311d21859f743e5a9d,"Karai Moncrieff oho Chester róga iporãitévape táva Nueva York-pegua, oimo'ãhápe ita'ýra Edward mba'eha. Ha osẽva kóvagui katu karai Moncrieff mome'ẽvéima pirapire Edward-pe noikotevẽvéima rupi iñepytyvõ.",Noikotevẽvéima Edward ñepytyvõ rehe.,0
0d18e79681257554f06589954f7ab21c,Upe karai ogueraha pe mitã'i ijatúa ári.,Upe karai ogueraha mitã'ípe pe mitã'i atúa ári.,0
8bd75b54d1d63f272593a102b272711e,"Oñemoherakuãhína peteĩ marandu ñemurãva, hákatu oike peteĩ tren pe estación ryepýpe ha upévare nahendúi.",Nahendúi pe marandu ñemurãva.,1
1f2770493b47ec65fb9f75e75ad4205f,"Che ru ohecha itajyrakuéra rova, ha'ete oñemondýi ha hovasyetereíva. Naiporãmbái mitãkuña'inguéra ohejareívo hetaiterei mba'e ha'e ndaikatúi haguére ojoguánte.",Naiporãmbái mitãkuña'inguéra ohejareívo hetaiterei mba'e ha'e ndaikatúi haguére ojoguánte.,1
2a573d2a61ab8618de2ebfcf2b55f60e,"Roho ypápe, ojehecha rehe upépe peteĩ tiburón pe océano rembe'ýpe, ha upépe ikatútakuri ojeyta apañuai'ỹre.",Upe océano rembe'y jeytaha naiñapañuáiri.,0
09393dcf7548719436769d5788420bc8,Grace ovy'a añetehápe ikatu rehe ocambia isáco chemba'e ndive. Oguerovia opyta porãha hese.,Pe chaqueta oĩporã hese.,1
1b559b66fd284b3927de33782e6c075c,"Lionel oguereko ka'irãime peteĩ científicope, doctor Vardi, omoheñoiva'ekue peteĩ mba'e mymbakuéra omokañýva; Lionel oiporuse kóva Geoffrey rehe ha péicha omondóta amonda hag̃uáicha material nuclear ejército mba'éva.",Lionel oiporuse Geoffrey-pe ha omondo Dr. Vardi-pe omondávo material nuclear milikokuéra mba'évagui.,0
567dbb9da8c53f83b58b9be6b290de6e,Fred ohecha téle ha George osẽ ojogua tembi'u upe aja. Ohasávo peteĩ aravo opu'ã.,Fred opu'ãma.,1
a09519ace5a7be4dd410e29fb5b01cfc,Amboguejy pe aranduka pohýi mesa árí ha upévare opẽ.,Upe mesa opẽma.,1
dce68c1100730e56fec92bb397b9de4b,"Romoĩsékuri ore jahaipy marandurã peteĩteĩva umi apyka ári, hákatu hetaitereíma oĩ.",Oĩkuri hetaiterei apyka.,1
bc72f867f0d82533fb75ed3f4800b203,Sam ojapóva ta'ãnga oĩhína pe Tina ojapova'ekue ariete ha ha'ete iporãvéva ambue hi'ári oĩre.,Upe Tina ojapóva ta'ãnga iporãve ambue hi'ári oĩre.,1
077a7becc68a2f671919dbc1bb3b1cd1,"Emma sy aréma omanohague, ha iñehekombo'e opytákuri peteĩ tapicha ikatupyry añetéva pópe.",Emma ñemoarandu opytákuri peteĩ tapicha ikatupyry añetéva pópe.,1
9fc9118c09bc90525124e9201b135539,Umi científico ohesa'ỹijo mbohapy pira aty rehegua ojejuhuramóva Océano Índico ryepýpe. Osẽhague ojapomahína mokõi ary.,Pirakuéra osẽ ñepyrũkuri ojapóma mokõi ary.,1
5305e77f238416c79370c3b66342f683,Upe karai ogueraha mitãme hupa peve.,Upe karai ogueraha mitãme pe karai rupa peve.,0
7a1032d7236cd9ae8a1e0a2077eb1507,Dra. Adams omomarandu Kate-pe ojejubilamaha ha omog̃uahẽ chupe hetaichagua oñepohanouka hag̃ua tenondeve.,Dra. Adams ojejubiláma ha omog̃uahẽ hetaichagua oñepohanouka hag̃ua tenondeve.,1
940fdac82a187bea353270002c065870,"Alice heta oñeha'ã ikatuháicha imembykuña ani hag̃ua osapukái upe jerokyhápe, ha roñeporandu mba'eicharupípa péicha ojapose.",Alice ha'ete hekotarovanungáva.,0
f7a203faa18c3166eeefa9b3bdc08dfb,"Upe ñoha'ãngahára héra Terpsichore, hákatu nda'areguasúi omoambuehague héra ko'ág̃a Tina ogueroviáre ndahasyiveha ije'e.",Terpsichore ndahasyive ije'e.,0
5d31b1c896fecadaae0e45845ad7f264,Fred ha'eñomi tapicha oikovéva apytépe imandu'áva che taita guasúre. Era un hombre extraordinario.,Fred ha'e tapicha ikatupyry añetéva.,0
2270bfe6e332e94c763e9ed1119de3e7,Anna-pe osẽvaive ipruéba iñangirũ Lucy-pe osẽva'ekuégui ha'e olee heteitereive rupi.,Lucy alee hetaiterei.,1
c49bc7868191d4914d56483b19aea40d,"Upe túva oikuaase mboyete virúpa odeve pe karai ñemuhápe; upépe ombojuaju jekeha tembi'uapoha rogapegua. Oipe'a viru karai ocobrávagui imba'apohápe, ha ombohasa chupe peteĩ chéke.",Upe túva oipe'a viru pe karai ocobrávagui hembiapohápe.,1
68754a7c621ea1bb47679378daacf944,"Sid omyesakã hemiandu Mark-pe, hákatu noikumbýi chupe.",Mark noikumbýi chupe.,1
ad6cdc98ad100eb0e83f882e4acc9323,Jim ombopy'aguapy Kevin-pe ipochyetereí rupi.,Jim ipochyetereíkuri.,0
22e8ff10dd56d32ef7c5f2bdc3737018,Aiporu peteĩ trapo tuja omopotĩ hag̃ua kyse ha upéi amombo ytyapýpe.,Amombo kyse ytyapýpe.,0
d6fb8851b2cf8e40b94e24d1ec197d16,"Oñembojáramo tupa yvateguágui, Tatyana ikatu ohecha apañuai'ỹre. Michĩmi, ojepyso ha hetatã tupa yvypeguávape. Hesa ñemboty kuri, hákatu Tatyana ndogueroviái okeha.",Tatyana ndogueroviái okeha.,0
6867ff1c2da285c9b05b0ea1512d0914,"Sam ha Amy ojuayhueterei, hákatu Amy tuvakuérape ndogustái, oguereko rupi papo ary.",Sam ha Amy oguereko papo ary.,1
9a7a6234f54beaa3ad042c9cda655d86,Tom he'i “jaque” Ralph-pe ojagarrávo ijalfil.,Tom he'i “jaque” Ralph-pe ojagarrávo Tom alfil.,0
