sentence1,sentence2,label
Mark sala ñeimeháme oĩ peteĩ pintura roble ra'ãnga. Oĩ peteĩ óga akatúa gotyo.,Upe roble oĩhína pe óga akatúa gotyo.,entailment
Billy hasẽkuri Toby ndoiporukaséi rupi chupe ihugéte.,Billy hasẽ Toby ndoiporukaséi haguére pe ñembosaraiha Billy-pe.,not_entailment
Sam Goodman ojapova'ekue general espartaygua Jenofonte rekoveasakue ohechauka mba'eichaitépa heta ohasa'asy yma imitãme.,Upe Sam Goodman omombe'úva pe general espartano Jenofonte rekovekue rehegua ohechauka añetehápe mba'eichaitépa Goodman oikoasyetereihague imitãramoguare.,not_entailment
"Jane ombota Susan-pe hokẽ, ha mavave nombohovái ichupe. Osẽkuri.",Susan osẽmakuri.,entailment
John oñemoaranduhínakuri arandukakotýpe ha upeichaháguinte ohendu oñe'ẽguyguy ha oturuñe'ẽva. Oporomyangekói upéva. ,Upe karai oporomoangekoieterei.,entailment
"Concierto oiko javehína inandihápe oñepyrũ oky sapy'a, katu oho hese 10 aravo peve.",Upe jepurahéi ipuku 10 aravo peve.,entailment
"Mark opensa Blaze rehe añoite, ikavaju morotĩ. Okyhyje umi kavaju oikohapegua omba'apovakuéra Burlington Stables mba'éva omyangekóivo chupe ikoyguaiterei rupi, upévare ha'etévoi omongaru ha oñantendéta ko mymba rehe.",Blaze okyhyje umi kavaju oikohapegua omba'apovakuéra Burlington Stables mba'éva omyangekóivo chupe.,not_entailment
"Ojetetira aja, upe kuñakarai opukavy pe mitãkuña'ípe.","Opoko aja upe kuña atúare, pe kuña opukavy mitãkuña'ípe.",entailment
"Beth ndaipochýi ñetehápe Sally ndive, oñe'ẽ jokóva ichupe, oha'ãrõ ha oñepomoĩ ichupe.",Beth oñembo'y ha ojerure omoñyrõmi hag̃ua chupe.,not_entailment
Upe kagua ndoikéi pe aoryruguasu marrõvape tuichaiterei rupi.,Pe kagua ñemokõha tuichaiterei.,entailment
"Opaite votõ Dora aopuku tapykue gotyoguáva oñeprende okáguivo añónte. Maude ha'eva'erãkuri pe oprendéva, hákatu nahániri, oheja Dora-pe ha'eñorei ojapóvo ikatumíva añónte.",Oheja Dora-pe ojapo hag̃uáicha ha'e ojapo hag̃ua ikatumiháicha.,entailment
"Alice omopotĩ mba'etimbo kotyguasupegua ha ohekahápe avei pe votõ isy ohundiva'ekue. Ko árape ndarekói pa'ũ ahecha hag̃ua ta'ãnga ymaguare pe ta'ãngaryru ahayhuvévape. Ko árape ahekáta kuri peteĩ votõ, ohejahápe ta'ãngaryru apykaguasu ári ohecha'ỹre mba'evete.",Alice ohekava'erãkuri votõ.,entailment
Fred ohecha téle George osẽ aja ojogua tembi'u. Peteĩ aravo haguépe ou jey.,Fred ou jey.,not_entailment
"Sam oho mbo'ehakotýpe oikuaaségui francés Adam ndive, ijerovúgui oñe'ẽporãitereiha.",Adam ojerovu oñe'ẽporãiterei haguére.,not_entailment
"Karai Moncrieff oho Chester róga iporãitévape táva Nueva York-pegua, oimo'ãhápe ita'ýra Edward mba'eha. Ha osẽva kóvagui katu karai Moncrieff mome'ẽvéima pirapire Edward-pe noikotevẽvéima rupi iñepytyvõ.",Noikotevẽvéima Edward ñepytyvõ rehe.,not_entailment
Upe karai ogueraha pe mitã'i ijatúa ári.,Upe karai ogueraha mitã'ípe pe mitã'i atúa ári.,not_entailment
"Oñemoherakuãhína peteĩ marandu ñemurãva, hákatu oike peteĩ tren pe estación ryepýpe ha upévare nahendúi.",Nahendúi pe marandu ñemurãva.,entailment
"Che ru ohecha itajyrakuéra rova, ha'ete oñemondýi ha hovasyetereíva. Naiporãmbái mitãkuña'inguéra ohejareívo hetaiterei mba'e ha'e ndaikatúi haguére ojoguánte.",Naiporãmbái mitãkuña'inguéra ohejareívo hetaiterei mba'e ha'e ndaikatúi haguére ojoguánte.,entailment
"Roho ypápe, ojehecha rehe upépe peteĩ tiburón pe océano rembe'ýpe, ha upépe ikatútakuri ojeyta apañuai'ỹre.",Upe océano rembe'y jeytaha naiñapañuáiri.,not_entailment
Grace ovy'a añetehápe ikatu rehe ocambia isáco chemba'e ndive. Oguerovia opyta porãha hese.,Pe chaqueta oĩporã hese.,entailment
"Lionel oguereko ka'irãime peteĩ científicope, doctor Vardi, omoheñoiva'ekue peteĩ mba'e mymbakuéra omokañýva; Lionel oiporuse kóva Geoffrey rehe ha péicha omondóta amonda hag̃uáicha material nuclear ejército mba'éva.",Lionel oiporuse Geoffrey-pe ha omondo Dr. Vardi-pe omondávo material nuclear milikokuéra mba'évagui.,not_entailment
Fred ohecha téle ha George osẽ ojogua tembi'u upe aja. Ohasávo peteĩ aravo opu'ã.,Fred opu'ãma.,entailment
Amboguejy pe aranduka pohýi mesa árí ha upévare opẽ.,Upe mesa opẽma.,entailment
"Romoĩsékuri ore jahaipy marandurã peteĩteĩva umi apyka ári, hákatu hetaitereíma oĩ.",Oĩkuri hetaiterei apyka.,entailment
Sam ojapóva ta'ãnga oĩhína pe Tina ojapova'ekue ariete ha ha'ete iporãvéva ambue hi'ári oĩre.,Upe Tina ojapóva ta'ãnga iporãve ambue hi'ári oĩre.,entailment
"Emma sy aréma omanohague, ha iñehekombo'e opytákuri peteĩ tapicha ikatupyry añetéva pópe.",Emma ñemoarandu opytákuri peteĩ tapicha ikatupyry añetéva pópe.,entailment
Umi científico ohesa'ỹijo mbohapy pira aty rehegua ojejuhuramóva Océano Índico ryepýpe. Osẽhague ojapomahína mokõi ary.,Pirakuéra osẽ ñepyrũkuri ojapóma mokõi ary.,entailment
Upe karai ogueraha mitãme hupa peve.,Upe karai ogueraha mitãme pe karai rupa peve.,not_entailment
Dra. Adams omomarandu Kate-pe ojejubilamaha ha omog̃uahẽ chupe hetaichagua oñepohanouka hag̃ua tenondeve.,Dra. Adams ojejubiláma ha omog̃uahẽ hetaichagua oñepohanouka hag̃ua tenondeve.,entailment
"Alice heta oñeha'ã ikatuháicha imembykuña ani hag̃ua osapukái upe jerokyhápe, ha roñeporandu mba'eicharupípa péicha ojapose.",Alice ha'ete hekotarovanungáva.,not_entailment
"Upe ñoha'ãngahára héra Terpsichore, hákatu nda'areguasúi omoambuehague héra ko'ág̃a Tina ogueroviáre ndahasyiveha ije'e.",Terpsichore ndahasyive ije'e.,not_entailment
Fred ha'eñomi tapicha oikovéva apytépe imandu'áva che taita guasúre. Era un hombre extraordinario.,Fred ha'e tapicha ikatupyry añetéva.,not_entailment
Anna-pe osẽvaive ipruéba iñangirũ Lucy-pe osẽva'ekuégui ha'e olee heteitereive rupi.,Lucy alee hetaiterei.,entailment
"Upe túva oikuaase mboyete virúpa odeve pe karai ñemuhápe; upépe ombojuaju jekeha tembi'uapoha rogapegua. Oipe'a viru karai ocobrávagui imba'apohápe, ha ombohasa chupe peteĩ chéke.",Upe túva oipe'a viru pe karai ocobrávagui hembiapohápe.,entailment
"Sid omyesakã hemiandu Mark-pe, hákatu noikumbýi chupe.",Mark noikumbýi chupe.,entailment
Jim ombopy'aguapy Kevin-pe ipochyetereí rupi.,Jim ipochyetereíkuri.,not_entailment
Aiporu peteĩ trapo tuja omopotĩ hag̃ua kyse ha upéi amombo ytyapýpe.,Amombo kyse ytyapýpe.,not_entailment
"Oñembojáramo tupa yvateguágui, Tatyana ikatu ohecha apañuai'ỹre. Michĩmi, ojepyso ha hetatã tupa yvypeguávape. Hesa ñemboty kuri, hákatu Tatyana ndogueroviái okeha.",Tatyana ndogueroviái okeha.,not_entailment
"Sam ha Amy ojuayhueterei, hákatu Amy tuvakuérape ndogustái, oguereko rupi papo ary.",Sam ha Amy oguereko papo ary.,entailment
Tom he'i “jaque” Ralph-pe ojagarrávo ijalfil.,Tom he'i “jaque” Ralph-pe ojagarrávo Tom alfil.,not_entailment
